Age_Bracket,No_Education_-_Male,Primary__-_Male,Secondary__-_Male,Tertiary_-_Male,No_Education_-_Female,Primary_-_Female,Secondary_-_Female,Tertiary_-_Female,OBJECTID
100+,-0.027116983,-0.082720895,-0.038731991,-0.026878416,0.138664981,0.173786815,0.029261235,0.018460176,0
95-99,-0.325623534,-1.073372233,-0.743450125,-0.477554108,1.711136316,2.531644041,1.008310187,0.378909456,1
90-94,-1.869632237,-7.952183072,-6.467208945,-2.660975745,7.507096615,14.07490326,8.020608693,3.447391432,2
85-89,-5.278196568,-31.79416296,-26.91114599,-12.15649448,14.68600608,55.74110916,32.42120573,10.84167903,3
80-84,-9.784822432,-90.50970057,-70.09164375,-29.30383325,30.14185387,136.9471479,67.7967269,26.18427134,4
75-79,-20.66509937,-204.9880616,-120.6579178,-62.22892126,44.64909063,267.6302785,115.8718031,53.77882774,5
70-74,-31.94769995,-362.3944073,-192.0931798,-109.8147129,58.20960444,439.6113383,188.6412635,97.37779372,6
65-69,-54.28393065,-497.7158738,-317.106513,-170.4736825,81.94651615,578.1354676,311.8260556,157.0419606,7
60-64,-57.80226952,-606.6722667,-456.8525757,-232.802888,76.69906946,671.2497222,449.6405719,222.1706364,8
55-59,-51.66800469,-626.3772221,-559.2582857,-274.1264875,59.990423,655.5764752,556.2590763,272.2140255,9
50-54,-49.39061318,-701.7643035,-738.6424952,-353.8125881,49.45952056,693.2957122,739.0662933,366.4684739,10
45-49,-47.62112838,-809.1240564,-994.3417325,-472.6030826,40.32258132,759.0940448,995.9209429,513.012431,11
40-44,-43.43489392,-904.3819975,-1288.875655,-615.4574536,30.06102337,809.5942568,1289.671256,703.3234641,12
35-39,-34.59016101,-909.9963356,-1497.332549,-725.6109547,18.38154986,776.6296424,1490.485013,873.7337949,13
30-34,-25.04172678,-865.4725409,-1640.299496,-813.6162365,9.138783409,699.9469397,1613.258524,1030.135753,14
25-29,-16.98867334,-812.4985352,-1843.826239,-835.986552,3.442718424,616.003543,1702.265672,1206.588067,15
20-24,-10.77323228,-765.6679149,-2369.324863,-579.2039898,0.742440586,534.8604449,2331.966112,865.6510028,16
15-19,-6.086330245,-711.3552747,-3220.088395,0,0.020693343,451.6414661,3470.767841,0,17
